Date,Hour,From (Coordinates),To (Coordinates),Distance,Time (Usual),Time (Now),Time (Range)
2022-07-26,19-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 35 min
2022-07-26,20-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,29 min,26 - 37 min
2022-07-26,20-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 34 min
2022-07-26,20-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 36 min
2022-07-26,20-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 35 min
2022-07-26,21-48,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 35 min
2022-07-26,21-48,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 34 min
2022-07-26,22-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 34 min
2022-07-26,22-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 33 min
2022-07-26,22-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 33 min
2022-07-26,22-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 33 min
2022-07-26,22-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 33 min
2022-07-26,22-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 32 min
2022-07-26,22-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,26 - 33 min
2022-07-26,22-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 32 min
2022-07-26,23-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,27 - 33 min
2022-07-26,23-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 32 min
2022-07-26,23-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,27 min,27 - 33 min
2022-07-26,23-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,25 - 31 min
2022-07-26,23-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,27 - 34 min
2022-07-26,23-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 31 min
2022-07-26,23-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,28 - 33 min
2022-07-26,23-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,26 - 32 min
2022-07-27,00-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,00-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,26 min,26 - 32 min
2022-07-27,00-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,00-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 32 min
2022-07-27,00-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,00-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 33 min
2022-07-27,00-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,00-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,01-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,01-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,01-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
2022-07-27,01-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",,,,
2022-07-27,01-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",,,,
